time_sec,marker_id,signal_name,trial_num,accepted,duration_sec
3.598,1,single_blink,1,True,2.0
9.143,1,single_blink,2,True,2.0
14.72,1,single_blink,3,True,2.0
20.328,1,single_blink,4,True,2.0
25.94,1,single_blink,5,True,2.0
31.551,1,single_blink,6,True,2.0
37.158,1,single_blink,7,True,2.0
42.767,1,single_blink,8,True,2.0
48.375,1,single_blink,9,True,2.0
53.984,1,single_blink,10,True,2.0
59.559,1,single_blink,11,True,2.0
65.103,1,single_blink,12,True,2.0
70.65,1,single_blink,13,True,2.0
76.242,1,single_blink,14,True,2.0
81.835,1,single_blink,15,True,2.0
87.373,1,single_blink,16,True,2.0
92.917,1,single_blink,17,True,2.0
98.459,1,single_blink,18,True,2.0
104.003,1,single_blink,19,True,2.0
109.55,1,single_blink,20,True,2.0
115.096,1,single_blink,21,True,2.0
120.642,1,single_blink,22,True,2.0
126.228,1,single_blink,23,True,2.0
131.773,1,single_blink,24,True,2.0
137.316,1,single_blink,25,True,2.0
142.858,1,single_blink,26,True,2.0
148.402,1,single_blink,27,True,2.0
153.946,1,single_blink,28,True,2.0
159.489,1,single_blink,29,True,2.0
165.031,1,single_blink,30,True,2.0
170.577,1,single_blink,31,True,2.0
176.12,1,single_blink,32,True,2.0
181.66,1,single_blink,33,True,2.0
187.208,1,single_blink,34,True,2.0
192.752,1,single_blink,35,True,2.0
198.294,1,single_blink,36,True,2.0
203.839,1,single_blink,37,True,2.0
209.38,1,single_blink,38,True,2.0
214.925,1,single_blink,39,True,2.0
220.47,1,single_blink,40,True,2.0
226.013,1,single_blink,41,True,2.0
231.556,1,single_blink,42,True,2.0
237.101,1,single_blink,43,True,2.0
242.645,1,single_blink,44,True,2.0
248.234,1,single_blink,45,True,2.0
253.776,1,single_blink,46,True,2.0
259.32,1,single_blink,47,True,2.0
264.862,1,single_blink,48,True,2.0
270.403,1,single_blink,49,True,2.0
275.948,1,single_blink,50,True,2.0
