time_sec,marker_id,signal_name,trial_num,accepted,duration_sec
2.628,3,triple_blink,1,True,2.0
6.7,3,triple_blink,2,True,2.0
10.772,3,triple_blink,3,True,2.0
14.842,3,triple_blink,4,True,2.0
18.914,3,triple_blink,5,True,2.0
22.987,3,triple_blink,6,True,2.0
27.059,3,triple_blink,7,True,2.0
31.139,3,triple_blink,8,True,2.0
35.213,3,triple_blink,9,True,2.0
39.287,3,triple_blink,10,True,2.0
43.365,3,triple_blink,11,True,2.0
47.438,3,triple_blink,12,True,2.0
51.516,3,triple_blink,13,True,2.0
55.587,3,triple_blink,14,True,2.0
59.653,3,triple_blink,15,True,2.0
63.723,3,triple_blink,16,True,2.0
67.794,3,triple_blink,17,True,2.0
71.865,3,triple_blink,18,True,2.0
75.94,3,triple_blink,19,True,2.0
80.01,3,triple_blink,20,True,2.0
84.087,3,triple_blink,21,True,2.0
88.157,3,triple_blink,22,True,2.0
92.227,3,triple_blink,23,True,2.0
96.3,3,triple_blink,24,True,2.0
100.375,3,triple_blink,25,True,2.0
104.444,3,triple_blink,26,True,2.0
108.525,3,triple_blink,27,True,2.0
112.594,3,triple_blink,28,True,2.0
116.662,3,triple_blink,29,True,2.0
120.728,3,triple_blink,30,True,2.0
124.793,3,triple_blink,31,True,2.0
128.865,3,triple_blink,32,True,2.0
132.937,3,triple_blink,33,True,2.0
137.008,3,triple_blink,34,True,2.0
141.08,3,triple_blink,35,True,2.0
145.154,3,triple_blink,36,True,2.0
149.226,3,triple_blink,37,True,2.0
153.299,3,triple_blink,38,True,2.0
157.373,3,triple_blink,39,True,2.0
161.453,3,triple_blink,40,True,2.0
