time_sec,marker_id,signal_name,trial_num,accepted,duration_sec
12.426,25,prox_left,1,True,2.0
17.569,25,prox_left,2,True,2.0
22.347,25,prox_left,3,True,2.0
27.738,25,prox_left,4,True,2.0
33.001,25,prox_left,5,True,2.0
38.109,25,prox_left,6,True,2.0
42.907,25,prox_left,7,True,2.0
47.857,25,prox_left,8,True,2.0
52.761,25,prox_left,9,True,2.0
58.074,25,prox_left,10,True,2.0
63.438,25,prox_left,11,True,2.0
68.391,25,prox_left,12,True,2.0
73.245,25,prox_left,13,True,2.0
78.098,25,prox_left,14,True,2.0
82.796,25,prox_left,15,True,2.0
87.496,25,prox_left,16,True,2.0
92.503,25,prox_left,17,True,2.0
97.455,25,prox_left,18,True,2.0
102.822,25,prox_left,19,True,2.0
107.827,25,prox_left,20,True,2.0
